Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,0,8,0
2025,7,July,0,9,9,0
2025,6,June,0,3,0,0
2024,10,October,0,5,2,0
2024,9,September,0,0,3,0
2024,7,July,0,0,2,0
2024,6,June,0,0,5,0
2024,5,May,0,2,4,0
2024,2,February,0,0,3,0
2023,10,October,0,0,2,0
2023,9,September,0,37,13,0
2023,8,August,0,1,9,0
2023,7,July,0,0,4,0
2023,6,June,0,0,5,0
2022,10,October,0,1,7,0
2022,9,September,0,4,7,0
2022,8,August,0,0,7,0
2022,7,July,0,1,0,0
2021,10,October,0,0,6,0
2021,9,September,0,6,5,0
2021,8,August,0,21,5,0
2020,9,September,0,0,1,0
2020,7,July,0,0,2,0
2019,11,November,0,0,4,0
2019,10,October,0,0,6,0
2019,9,September,0,48,10,0
2019,5,May,0,0,2,0
